node,color,shape
estavelle,#c5c5e0,box
created by the dissolution of carbonate rocks,white,box
product   of processes that operate,white,box
on continental land masses,white,box
arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,white,box
"developed on especially soluble rocks such as limestone , marble , and gypsum",white,box
karst conduit networks,#c5c5c5,box
the length of conduits wider than about 1 cm in diameter,white,box
karst depression,#c5c5e0,box
karst topography,#c5c5c5,box
shaped by the dissolution of soluble bedrock,white,box
karst windows,#c5c5e0,box
exposing the river to the surface,white,box
caused by collapse of an underground cavern,white,box
karstosphere,#c5c5c5,box
spatially discontinuous layer,white,box
konta,#c5c5e0,box
"closed karst depression , like a doline",white,box
that has been remodelled during Pleistocene glaciation .,white,box
losing streamflow,#c5c5e0,box
contributes water to the karst groundwater system,white,box
in localized areas,white,box
rill,#c5c5e0,box
on surface exposures of limestone,white,box
rillenstein,#c5c5e0,box
Microsolution,white,box
on rock surface,white,box
rimstone,#fdb87b,box
"formed around the rims of overflowing basins , especially in caves",white,box
rimstone barrage,#fdb87b,box
wall-shaped,white,box
"in caves , around springs",white,box
gour,#fdb87b,box
rimstone dam,#fdb87b,box
rimstone barrier,#fdb87b,box
rimstone pool,#c5c5e0,box
kept in place by a rimstone dam,white,box
rise,#c5c5e0,box
rock pillar,#c5c5e0,box
mass of bedrock,white,box
rock pinnacle,#c5c5e0,box
A tall sharp projection of bedrock,white,box
rising from the floor of a cave,white,box
rock shelter,#c5c5e0,box
Shallow,white,box
"where streams have undercut their banks at bends , or where there has been abrasion by blowing sand",white,box
under an overhanging rock ledge,white,box
roof crust,#c5c5e0,box
"thin films of water , which have crept over the rock from pore or crack sources .",white,box
deposited on ceilings of caves,white,box
room,#c5c5e0,box
that is wider than a passage,white,box
sand stalagmite,#c5c5e0,box
formed on sand,white,box
scaling chip,#fdb87b,box
which has fallen from the ceiling or wall of a eave,white,box
scaling plate,#fdb87b,box
A small flat piece of rock of rectangular or polygonal shape,white,box
that has fallen to the floor of a cave,white,box
Oval hollow having an asymmetric cross section along its main axis,white,box
Scallops form patterns on tl e walls of caves and in streambeds,white,box
sea cave,#c5c5e0,box
eroded by waves or currerts or dissolved by water,white,box
in a sea cliff,white,box
faults,#fdb87b,box
along which movement has occurred or still occurs,white,box
fission-track method,#acdda6,box
encrust floors or walls,white,box
fluviokarst,#c5c5c5,box
visible surface expression of the fissures of a karstifiable rock,white,box
are a significant component of the epikarst,white,box
grikes,#c5c5e0,box
hypogene karst,#c5c5c5,box
independent of the recharge from the overlying or immediately adjacent surface,white,box
inphase component,#acdda6,box
range from 1 cm to 10 m in greatest dimension,white,box
interaction between soluble rocks and different waters,white,box
karstification,#aacfe5,box
differential chemical and mechanical erosion by water on soluble bodies of rock,white,box
at or near the Earth ’ s surface,white,box
indicates dissolution ( also called chemical solution ) of underlying soluble rocks by surface water or ground water,white,box
"distinctive type of landscape that develops from the dissolving action of water on soluble bedrock , primarily limestone and marble but also dolostone , gypsum and halite",white,box
"terrain , generally",white,box
terrains underlain by soluble rock,white,box
on cave walls or formations close to a light source .,white,box
visitor capacity,#fdb87b,box
allogeneic waters,#fdb87b,box
derived from nonlocal sources,white,box
base level,#fdb87b,box
cover-collapse sinkhole,#c5c5e0,box
suffosion dolines,#c5c5e0,box
depressions,white,box
usually only a few meters in diameter and depth,white,box
may have different forms and surface expressions,white,box
hypogene speleogenesis,#aacfe5,box
water,white,box
vertical through structures,#c5c5e0,box
vertically extended collapse features,white,box
by-product of hypogene speleogenesis,white,box
result of dissolution of soluble rocks by groundwater,white,box
"form on the ceilings , walls , and floors of caves .",white,box
straw stalactites,#c5c5e0,box
hollow tubes,white,box
about 5 mm in diameter,white,box
helictites,#c5c5e0,box
erratic stalactite-like form,white,box
occurs when seepage rates are too slow for complete drops to form,white,box
cave pearls,#c5c5e0,box
"near-spherical , unattached speleothem",white,box
agitated by water dripping from considerable heights,white,box
form in pools,white,box
dissolutional potholes,#c5c5e0,box
sharp-edged ### rounded-interior,white,box
in stream beds,white,box
anastamose,#c5c5e0,box
pattern of interweaving channels,white,box
pendants,#c5c5e0,box
hanging from passage ceilings,white,box
typically B10 — 100 cm in dimension,white,box
cupolas,#c5c5e0,box
of thermal caves,white,box
remnant rounded pinnacles,white,box
has formed under an acidic soil cover,white,box
sinkhole plains,#c5c5c5,box
doline karst,#c5c5c5,box
are accessible to human exploration,white,box
"occurs as short to long prismatic ( along c ) , acicular or tabular ( chisel-shaped ) crystals , often twinned",white,box
wad,#fdb87b,box
knickpoints,#fdb87b,box
may form as a response to a sudden drop in the water table,white,box
"are circular , oval , or irregular in shape",white,box
where passages intersect,white,box
is wide relative to its length,white,box
pits,#c5c5e0,box
form of vadose passage,white,box
flute,#c5c5e0,box
"elongate , nearly parallel crested forms",white,box
in some cave passages,white,box
exhalation,#fdb87b,box
whiting,#fdb87b,box
derived by fine grinding,white,box
such that > 95% is < 44 µm,white,box
relict sea caves on former coastlines,white,box
slabs,#c5c5e0,box
fragments of a single bed,white,box
a few cubic metres in volume,white,box
seems to be originated by microbiological reactions,white,box
margin,#fdb87b,box
forms the island,white,box
under the flank of the high ground,white,box
speleotherapy,#acdda6,box
involving subterranean environments and their specific microclimate,white,box
exsurgences,#c5c5e0,box
receive the bulk of their recharge from a karst surface,white,box
in autogenic aquifers,white,box
open anchialine pools,#c5c5e0,box
connected to the sea by cave corridors,white,box
coastal,white,box
fungi,#fdb87b,box
important decomposers,white,box
glaciokarstic varves,#fdb87b,box
"silty , laminated sediments",white,box
vulcanospeleology,#acdda6,box
anchialine,#c5c5e0,box
pools with no surface connection to the sea,white,box
entrances,#c5c5e0,box
accidental intersections of the caves by surface erosion,white,box
fengcong,#c5c5e0,box
rising from shared limestone foot-slopes .,white,box
fenglin,#c5c5e0,box
isolated from each other by flat limestone surfaces,white,box
radiolocation,#acdda6,box
to find out where the extremities of a cave lie and reduce cumulative errors in the survey,white,box
where groups of residual hills share a common exposed bedrock base,white,box
peak forest,#c5c5c5,box
artificial underground reservoir,#fdb87b,box
to control the discharge regime of artificially stored water,white,box
valleys,#c5c5e0,box
of most karst regions,white,box
pocket valleys,#c5c5e0,box
they occur in association with large springs close to the margins of karst areas,white,box
with internal drainage,white,box
typically formed in karst environments,white,box
sinkholes,#c5c5e0,box
are formed due to coalescence of several dolines,white,box
with undulating floors,white,box
floored by sinkholes,white,box
bowl shaped,white,box
paleokarst,white,box
has been buried beneath younger sediments,white,box
flank-margin caves,#c5c5e0,box
as a result of sea-water and freshwater mixing,white,box
inside the coastline,white,box
develops in carbonate coastlines,white,box
morphometry,#acdda6,box
dissolutional corridors,#c5c5e0,box
follow major vertical fractures,white,box
created by the doming,white,box
in the limestone,white,box
found on all continents,white,box
caves without roofs,#c5c5e0,box
without roofs,white,box
paleokarst aquifers,#c5c5c5,box
important sources of water,white,box
palynology,#acdda6,box
provide important evidence about ancient environments,white,box
paragenesis,#aacfe5,box
network mazes,#c5c5e0,box
angular grids of intersecting fissures guided by fractures,white,box
spongework mazes,#c5c5e0,box
irregular,white,box
enlarged from primary pores,white,box
blind valleys,#c5c5e0,box
valleys usually terminate abruptly in a cliff or steep slope,white,box
Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink,white,box
pre-ponor retention,#aacfe5,box
in the surface depression just above the ponor,white,box
pseudokarstic caves,#c5c5e0,box
large enough to enter and investigate,white,box
emanation,#fdb87b,box
depends on the concentration of uranium ( which then decays to radium ) in the material,white,box
k,#fdb87b,box
epik system,#acdda6,box
intended particularly for use in the karst of the Jura mountains,white,box
fengcong karst,#c5c5c5,box
paleocave system,#c5c5c5,box
paleocave hydrocarbon reservoir,#c5c5c5,box
karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity,white,box
does not experience exchange with stream water,white,box
deep portion of an aquifer,white,box
arêtes,#c5c5e0,box
"naked , reticulated , saw-topped ridges with spires",white,box
c . 120 m high,white,box
microrills,#c5c5e0,box
distinctive rilling appearance,white,box
smallest,white,box
rainpits,#c5c5e0,box
"cup-like hollows , sub-circular in plan and nearly parabolic in cross section",white,box
decantation runnels,#c5c5e0,box
reduce in width and depth downslope,white,box
"the solvent supply is not directly related to rainfall , but corresponds to overspilling stores of water , such as moss clumps , small snow banks , or soil remnants",white,box
cutters,#c5c5e0,box
develops beneath soil cover,white,box
in some parts of the cave,white,box
halite,#fdb87b,box
colluvial transport,#aacfe5,box
without the assistance of water,white,box
down-slope,white,box
stalactites,#c5c5e0,box
hanging from the ceiling,white,box
centimeter to meter in scale,white,box
stalagmitic flowstones,#c5c5e0,box
formed by a thin flowing film of water itself fed by groups of dripping stalactites,white,box
coat the cave floor and walls,white,box
soda straws,#c5c5e0,box
characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth,white,box
generated by axial feeding,white,box
stalagmites,#c5c5e0,box
"show flat , rounded , or slightly hollow tops , but not a central canal",white,box
fed by an overhanging stalactite,white,box
zone of bedrock modified by solution located at or near the surface,white,box
ponors,#c5c5e0,box
the point at which a sinking stream heads underground,white,box
swallow holes,#c5c5e0,box
"sinkholes that form in a stream bed , often with a large vertical shaft beneath",white,box
direct runoff into an underground channelóin,white,box
intrastratal karstification,#aacfe5,box
"within a sequence of soluble rocks , e.g . a gypsum bed in a dolomite formation",white,box
exokarst,#c5c5c5,box
at the surface,white,box
cryptokarst,#c5c5c5,box
"developed beneath a blanket of permeable sediments such as soil , till , periglacial deposits and residual clays",white,box
Karst-like landforms,white,box
produced by processes other than dissolution or corrosion-induced subsidence and collapse,white,box
thermokarst,#c5c5c5,box
resulting from thawing of ground ice,white,box
holokarst,#c5c5c5,box
extending well below baselevel,white,box
developed on thick limestones,white,box
Concentrated inflows of water from allogenic sources sink underground,white,box
swallets,#c5c5e0,box
stream-sinks,#c5c5e0,box
"well layered , quite lustrous and lacks framing plant content",white,box
where rapid deposition is encouraged by evaporation,white,box
near cave entrances,white,box
spheres,white,box
range ~ 0.2 to 10 – 15 mm in diameter,white,box
cristobalite,#fdb87b,box
fine-grained,white,box
occurs as thin interlayers in some calcite and gypsum speleothems,white,box
opal,#fdb87b,box
static cave,#c5c5e0,box
deep hole with no air drainage out of the bottom,white,box
"it traps cold , dense air and excludes warmer air",white,box
primary porosity,#fdb87b,box
Shaft-like depressions deeply flooded by seawater,white,box
in low-lying coral islands,white,box
suffosion,#aacfe5,box
by a combination of physical downwashing and chemical solution,white,box
in the karstified bedrock,white,box
carbonatites,#fdb87b,box
pit caves,#c5c5e0,box
1 – 2 m in diameter and up to 15 m deep,white,box
mogotes,#c5c5e0,box
isolated,white,box
in the northern section,white,box
rise from the blanket sands,white,box
extreme form of karst,white,box
"develops where dissolution rates , tectonic uplift , and alluviation maintain a critical balance",white,box
solution dolines,#c5c5e0,box
10 – 100 m in diameter and up to 30 m in depth,white,box
vertical shafts,#c5c5e0,box
truncated by glaciation,white,box
where streams sink underground,white,box
in bouldery deposits such as glacial drift overlying limestone,white,box
collapse,#aacfe5,box
rapid downward,white,box
fovals,#fdb87b,box
"can be found in different positions in the caves , on the floor , or on the rocky walls",white,box
kettle holes,#c5c5e0,box
assembled into extensive debris pseudokarst hillocks,white,box
developing closed depressions,white,box
where buried ice melts in situ,white,box
develops in debris,white,box
resurgences,#c5c5e0,box
reflect the changing water quality of the sinking streams,white,box
in allogenic karst aquifers,white,box
Autogenic karst aquifers feed,white,box
karstic terrain,white,box
turm,#c5c5e0,box
tower,#c5c5e0,box
pepino,#c5c5e0,box
piton,#c5c5e0,box
cone,#c5c5e0,box
hum,#c5c5e0,box
breccia pipes,#c5c5e0,box
created by progressive stoping above sites of interstratal dissolution,white,box
gypsum karst,white,box
bubbles,#c5c5e0,box
round or elliptical in plan,white,box
gypsum tumuli,#c5c5e0,box
tents,#c5c5e0,box
rillensteine,#fdb87b,box
solution runnels,#c5c5e0,box
where sheetflow or wash on a slope breaks down into linear threads,white,box
karst in humid areas,white,box
in the humid tropics and subtropics,white,box
small-scale,white,box
preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments,white,box
water-filled vertical openings,white,box
in the carbonate rock of the islands,white,box
"composite result of carbonate deposition and dissolution cycles , which have been controlled by glacial sea-level fluctuations",white,box
extend below sea-level for a majority of their depth,white,box
carbon dioxide,#fdb87b,box
diagenesis,#aacfe5,box
product of diagenesis,white,box
