node1,node2,arrow,label
pipe,A.1 Surface landform,->,
tubular,pipe,->,has form
into ' karst rocks,pipe,->,is located
projecting as much as several metres down from the surface,pipe,->,has size
plunge pool,D.1 Abiotic,->,
generally of large size,plunge pool,->,has size
polje,A.1 Surface landform,->,
with a flat floor across which there may be an intermittent or perennial stream,polje,->,has form
polygonal karst,C. Geome,->,
pitted by closed depressions,polygonal karst,->,has form
porosity,D.3 Property,->,
rock or soil,porosity,->,composed
pseudokarst,C. Geome,->,
resemble those of karst,pseudokarst,->,has form
relict karst,C. Geome,->,
open to modification by present-day processes,relict karst,->,has function
produced by earlier geomorphic processes within the present cycle of karstification,relict karst,->,has cause
tecto-karstic hollow,A.1 Surface landform,->,
closed basin,tecto-karstic hollow,->,has form
evolved through karst processes,tecto-karstic hollow,->,has cause
inside a tectonic depression,tecto-karstic hollow,->,is located
in the karst terrains,poljes,->,is located
"with a wide , flat and nearly horizontal floor , completely enclosed between steep slopes",polje,->,has form
peripheral polje,A.1 Surface landform,->,
base-level polje,A.1 Surface landform,->,
with a floor cut entirely across karst rocks,base-level polje,->,has form
littoral cave,A.2 Underground landform,->,
within the range of tides,littoral cave,->,is located
form by wave erosion,sea caves,->,has cause
in coastal areas that contain exposed bedrock,sea caves,->,is located
flank margin caves,A.2 Underground landform,->,
series of oval rooms,flank margin caves,->,has form
result of developing in the thinning margin of the freshwater lens,flank margin caves,->,has cause
"extensive in the horizontal direction , but limited in the vertical direction",flank margin caves,->,has size
blue holes,A.2 Underground landform,->,
blue holes,A.3 Hydrological form,->,
open to the Earth ’ s surface,blue holes,->,has form
open to the Earth ’ s surface,blue hole,->,has form
provide access to submerged cave passages,blue holes,->,has function
provide access to submerged cave passages,blue hole,->,has function
extend below sea level for a majority of their depth,blue holes,->,is located
limonite,D.1 Abiotic,->,
sandstone,D.1 Abiotic,->,
karst forms,A. Landform,->,
formed mainly by solutional processes of carbonate rocks,karst forms,->,has cause
surface and subsurface,karst forms,->,is located
above known large caves,collapse dolines,->,is located
depressions with flat bottoms,karst poljes,->,has form
result of solutional processes and karst water drainage,karst poljes,->,has cause
lack an active watercourse over all or parts of their length,dry valleys,->,has form
because water is lost in karst or is in a much lower position,dry valleys,->,has cause
influent cave,A.2 Underground landform,->,
into which a stream flews or formerly entered,influent cave,->,has function
into which a stream flews or formerly entered,inflow cave,->,has function
jama,A.2 Underground landform,->,
Vertical or steeply inclined shaft,jama,->,has form
Vertical or steeply inclined shaft,pothole,->,has form
Vertical or steeply inclined shaft,abime,->,has form
pothole,A.2 Underground landform,->,
abime,A.2 Underground landform,->,
joint-plane cave,A.2 Underground landform,->,
developed along steeply dipping joint planes,joint-plane cave,->,is located
high in relation to width,joint-plane cave,->,has size
separated by ridges,karren,->,has form
caused by solution,karren,->,has cause
vary in depth from a few millimeters to more than a meter,karren,->,has size
shallow channels separated by sharp ridges,rillenkarren,->,has form
2 - 3 centimeters apart,rillenkarren,->,has size
rinnenkarren,A.1 Surface landform,->,
flat-bottomed grooves,rinnenkarren,->,has form
several centimeters apart,rinnenkarren,->,has size
kluftkarren,A.1 Surface landform,->,
joints enlarged by solution,kluftkarren,->,has cause
spitzkarren,A.1 Surface landform,->,
extending down from steep spires or pinnacles,spitzkarren,->,is located
large deep grooves,spitzkarren,->,has size
meanderkarren,A.1 Surface landform,->,
winding or meandering channels,meanderkarren,->,has form
rundkarren,A.1 Surface landform,->,
having rounded channels and intervening rounded ridges,rundkarren,->,has form
reexhumed after formation under soil or peat,rundkarren,->,has cause
fachkarren,A.1 Surface landform,->,
bodenkarren,A.1 Surface landform,->,
karrenfeld,A.1 Surface landform,->,
formed by the dissolving of rock,karst,->,has cause
karst barre,C. Geome,->,
karst base level,D.1 Abiotic,->,
karstification does not take place,karst base level,->,has function
karst bridge,A.1 Surface landform,->,
bridge or arch,karst bridge,->,has form
karst fens,A.1 Surface landform,->,
developed in sinkhole terrain,karst fens,->,is located
karst lake,A.3 Hydrological form,->,
in extensive closed depression,karst lake,->,is located
karst margin plain,A.1 Surface landform,->,
plain,karst margin plain,->,has form
plain,karst plain,->,has form
"having a cover of impervious detritus , which allows surface drainage",karst margin plain,->,has function
karst plain,A.1 Surface landform,->,
karst pond,A.3 Hydrological form,->,
Closed depression,karst pond,->,has form
in a karst area,karst pond,->,is located
karst river,A.3 Hydrological form,->,
originates from a karst spring,karst river,->,has cause
calcretes,D.1 Abiotic,->,
as a result of concentration processes by near-surface evaporation,calcretes,->,has cause
near the water table in arid lands,calcretes,->,is located
marginal cave,A.2 Underground landform,->,
the origin of such caves was due to wave action and their gradual loss of connection to the sea,marginal cave,->,has cause
by its position at the sea coast,marginal cave,->,is located
halocline,D.1 Abiotic,->,
where the salinity abruptly changes,halocline,->,is located
glaciers,D.1 Abiotic,->,
accumulates on the upper elevations of a glacier,glaciers,->,is located
denuded karst,C. Geome,->,
with substantial inheritance of solution porosity from the preceding stages of intrastratal development,denuded karst,->,has cause
develops where the soluble rock has been almost completely exposed from beneath the cover,denuded karst,->,composed
open karst,C. Geome,->,
gypsum needles,A.1 Surface landform,->,
"straight , clear",gypsum needles,->,has form
that grow by extrusion from the soil,gypsum needles,->,has cause
in some caves,gypsum needles,->,is located
cave cotton,D.1 Abiotic,->,
generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers,cave cotton,->,has size
pores,D.1 Abiotic,->,
available for the storage of water,pores,->,has function
In porous media aquifers,pores,->,is located
draining open conduit systems,karst springs,->,has function
hydrothermal karst,C. Geome,->,
network caves,A.2 Underground landform,->,
formed by widening of nearly all major fractures,network caves,->,has cause
within favorable areas of soluble rocks,network caves,->,is located
bamboo,A.2 Underground landform,->,
thermoindicator,A.2 Underground landform,->,
flutes,A.1 Surface landform,->,
vertical,flutes,->,has form
vertical,longitudinal rills,->,has form
vertical,shaft,->,has form
vertical,pit caves,->,has form
that develop where a water film flows down a high angle rock face,flutes,->,has cause
that develop where a water film flows down a high angle rock face,longitudinal rills,->,has cause
longitudinal rills,A.1 Surface landform,->,
jamas,A.2 Underground landform,->,
sinking deep into the carbonate massive,jamas,->,has form
of greater dimensions,jamas,->,has size
zone of vertical circulation,C. Geome,->,
area with large joints,zone of vertical circulation,->,has form
"through which the water circulates quickly , predominantly in the ver - tical direction , down to the groundwater level .",zone of vertical circulation,->,has function
speleothems,A.2 Underground landform,->,
"take on the form of stalactites , stalagmites , flowstone , and other forms",speleothems,->,has form
conduits,A.3 Hydrological form,->,
through which water moves from sinkholes and sinking streams to the outlets at springs,conduits,->,has function
in limestone,conduits,->,composed
in limestone,rise,->,is located
aeolian cave,A.2 Underground landform,->,
bowl-shaped,aeolian cave,->,has form
in solid rock,aeolian cave,->,composed
lava conduits,A.2 Underground landform,->,
by the crusting over of channels .,lava conduits,->,has cause
by the crusting over of channels .,tunnels,->,has cause
by the crusting over of channels .,tubes,->,has cause
by the crusting over of channels .,pyroducts,->,has cause
within streams of lava,lava conduits,->,is located
within streams of lava,tunnels,->,is located
within streams of lava,tubes,->,is located
within streams of lava,pyroducts,->,is located
tunnels,A.2 Underground landform,->,
tubes,A.2 Underground landform,->,
pyroducts,A.2 Underground landform,->,
cave-wall biofilms,D.2 Biotic,->,
on subaerial cave-wall surfaces,cave-wall biofilms,->,is located
on subaerial cave-wall surfaces,biofilms,->,is located
on subaerial cave-wall surfaces,microbial draperies,->,is located
on subaerial cave-wall surfaces,snottites,->,is located
biofilms,D.2 Biotic,->,
microbial draperies,D.2 Biotic,->,
snottites,D.2 Biotic,->,
tiankeng,A.1 Surface landform,->,
with perimeter walls that are close to vertical,tiankeng,->,has form
"at least 100 m long , wide and deep",tiankeng,->,has size
cenotes,A.1 Surface landform,->,
open depressions,cenotes,->,has form
giving access to the water table,cenotes,->,has function
resulting from the collapse of the roof of submerged cavities,cenotes,->,has cause
in the coastal karst belts,cenotes,->,is located
subsidence dolines,A.1 Surface landform,->,
caused by the subsiding of an area .,subsidence dolines,->,has cause
intersection dolines,A.1 Surface landform,->,
"formed when an old cave system , partially or totally filled with sediments , is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion",intersection dolines,->,has cause
compound hollow,A.1 Surface landform,->,
originated from the fusion of simpler forms,compound hollow,->,has cause
polygenetic sink,A.1 Surface landform,->,
evolved through both the karst process and another morphogenetic process,polygenetic sink,->,has cause
limestone pavement,D.1 Abiotic,->,
commonly divided into blocks by solutionally widened joints,limestone pavement,->,has form
lost river,A.3 Hydrological form,->,
a surface stream,lost river,->,has form
In a karst region,lost river,->,is located
lycopodium spores,E.1 Instrument,->,
which can be used in natural or dyed color as a label,lycopodium spores,->,has function
in karst areas,lycopodium spores,->,is located
meander,A.2 Underground landform,->,
an arcuate curve,meander,->,has form
formed by lateral shifting of a cave stream,meander,->,has cause
in a channel,meander,->,is located
conical or crescentshaped opening,meander niche,->,has form
formed by the downward and lateral erosion of a stream on the floor of a passage,meander niche,->,has cause
in the wall of a cave,meander niche,->,is located
merokarst,C. Geome,->,
microkarst,C. Geome,->,
surficial features are small,microkarst,->,has size
mischungskorrosion,B.4 Transformation,->,
derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure,mischungskorrosion,->,has cause
karst inselberg,A.1 Surface landform,->,
karst residual hills,karst inselberg,->,has form
karst residual hills,mogote,->,has form
mogote,A.1 Surface landform,->,
moon milk,D.1 Abiotic,->,
plastic,moon milk,->,has form
mud stalagmite,A.2 Underground landform,->,
naked karst,C. Geome,->,
bare karst,C. Geome,->,
rock arch,natural arch,->,has form
rock bridge spanning a ravine,natural bridge,->,has form
not yet eroded away,natural bridge,->,has cause
natural tunnel,A. Landform,->,
generally fairly straight in direction and fairly uniform in cross section,natural tunnel,->,has form
sanidine,D.1 Abiotic,->,
montmorillonite,D.1 Abiotic,->,
product of intensive acidic weathering of volcaniclastic material,montmorillonite,->,has cause
product of intensive acidic weathering of volcaniclastic material,smectite,->,has cause
smectite,D.1 Abiotic,->,
input caves,A.2 Underground landform,->,
leading to epiphreatic tube passages,input caves,->,is located
juvenile pattern,D.3 Property,->,
prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover,juvenile pattern,->,composed
microforms,A.2 Underground landform,->,
Smaller scale forms,microforms,->,has size
step-wise calibration,E.2 Method,->,
allowed calibrating the different components of the streamflow according to different hydrologic processes,step-wise calibration,->,has function
secondary porosity,D.3 Property,->,
in the post-petrification period,secondary porosity,->,is located
gravitational water,D.1 Abiotic,->,
"due to gravity , penetrates and flows into the underground system",gravitational water,->,has cause
specific yield,D.3 Property,->,
surface karst forms,A.1 Surface landform,->,
shaft,A.2 Underground landform,->,
shake,A.1 Surface landform,->,
especially one formed by subsidence,shake,->,has cause
especially one formed by subsidence,shakehole,->,has cause
shakehole,A.1 Surface landform,->,
"formed by solution , subsidence , and compaction",shakehole,->,has cause
"formed by solution , subsidence , and compaction",shake,->,has cause
shawl,A.2 Underground landform,->,
triangular-shaped,shawl,->,has form
by trickling water,shawl,->,has cause
"formed on walls , shelves , benches , and terraces",shawl,->,is located
shield,A.2 Underground landform,->,
disk-shaped,shield,->,has form
standing edgewise at a high angle,shield,->,is located
sink,A.1 Surface landform,->,
"They may be basin , funnel , or cylindrical shaped",sink,->,has form
"They may be basin , funnel , or cylindrical shaped",sinkhole,->,has form
sinkhole,A.1 Surface landform,->,
sinkhole plain,C. Geome,->,
nearly all drainage is subterranean,sinkhole plain,->,has function
sinkhole pond,A.3 Hydrological form,->,
due to an impervious clay floor or to intersection of depression with the water table,sinkhole pond,->,has cause
in closed depression,sinkhole pond,->,is located
sinking creek,A.3 Hydrological form,->,
that disappears underground,sinking creek,->,has function
sinter,D.1 Abiotic,->,
deposited by a mineral spring,sinter,->,has cause
siphon,A.2 Underground landform,->,
in which the ceiling dips below a water surface,siphon,->,is located
slump pit,D.1 Abiotic,->,
caused by erosion beneath the fill,slump pit,->,has cause
the clay fill of a cave floor,slump pit,->,is located
solution pan,A.1 Surface landform,->,
generally characterized by flat bottom and overhanging sides,solution pan,->,has form
generally characterized by flat bottom and overhanging sides,panhole,->,has form
generally characterized by flat bottom and overhanging sides,opferkessel,->,has form
generally characterized by flat bottom and overhanging sides,tinajita,->,has form
generally characterized by flat bottom and overhanging sides,kamenitza,->,has form
solution,solution pan,->,has cause
solution,panhole,->,has cause
solution,opferkessel,->,has cause
solution,tinajita,->,has cause
solution,kamenitza,->,has cause
solution,rill,->,has cause
panhole,A.1 Surface landform,->,
opferkessel,A.1 Surface landform,->,
tinajita,A.1 Surface landform,->,
kamenitza,A.1 Surface landform,->,
solution pipe,A.1 Surface landform,->,
often without surface expression,solution pipe,->,has form
attributable to solution,solution pipe,->,has cause
sotano,A.2 Underground landform,->,
can store and transmit significant quantities of water,aquifer,->,has function
forms in seawater,aragonite,->,composed
artesian aquifer,C. Geome,->,
bounded on top and bottom by confining beds,artesian aquifer,->,has form
not enlarged by growth into a major tube or canyon,bedding-plane cave,->,has form
has remained almost entirely on the bedding plane,bedding-plane cave,->,is located
cirque-dolines,A.1 Surface landform,->,
have been transformed by solution into closed depressions,cirque-dolines,->,has cause
aquitard,C. Geome,->,
keeps groundwater from draining away,aquitard,->,has function
keeps groundwater from draining away,confining bed,->,has function
keeps groundwater from draining away,aquiclude,->,has function
confining bed,D.1 Abiotic,->,
aquiclude,C. Geome,->,
contact karst,C. Geome,->,
formed by the influence surface river flow,contact karst,->,has cause
drawdown,B. Process,->,
endokarst,C. Geome,->,
where the internal ( telluric ) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength,endokarst,->,has cause
in the lower part of the karstosphere,endokarst,->,is located
uppermost zone of exposed karst rock,epikarst,->,is located
subcutaneous zone,C. Geome,->,
highly corroded,subcutaneous zone,->,has form
highly corroded,epikarst,->,has form
near the surface,subcutaneous zone,->,is located
near the surface,epikarst,->,is located
estavelle,A.3 Hydrological form,->,
created by the dissolution of carbonate rocks,karst,->,has cause
product   of processes that operate,karst,->,has cause
on continental land masses,karst,->,is located
arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,karst,->,has cause
"developed on especially soluble rocks such as limestone , marble , and gypsum",karst,->,composed
karst conduit networks,C. Geome,->,
the length of conduits wider than about 1 cm in diameter,karst conduit networks,->,has size
karst depression,A.1 Surface landform,->,
karst topography,C. Geome,->,
shaped by the dissolution of soluble bedrock,karst topography,->,has cause
karst windows,A.1 Surface landform,->,
exposing the river to the surface,karst windows,->,has form
caused by collapse of an underground cavern,karst windows,->,has cause
karstosphere,C. Geome,->,
spatially discontinuous layer,karstosphere,->,has form
konta,A.1 Surface landform,->,
"closed karst depression , like a doline",konta,->,has form
that has been remodelled during Pleistocene glaciation .,konta,->,has cause
losing streamflow,A.3 Hydrological form,->,
contributes water to the karst groundwater system,losing streamflow,->,has function
in localized areas,losing streamflow,->,is located
rill,A.2 Underground landform,->,
on surface exposures of limestone,rill,->,is located
rillenstein,A.1 Surface landform,->,
Microsolution,rillenstein,->,has cause
on rock surface,rillenstein,->,is located
rimstone,D.1 Abiotic,->,
"formed around the rims of overflowing basins , especially in caves",rimstone,->,is located
rimstone barrage,D.1 Abiotic,->,
wall-shaped,rimstone barrage,->,has form
wall-shaped,gour,->,has form
wall-shaped,rimstone dam,->,has form
wall-shaped,rimstone barrier,->,has form
"in caves , around springs",rimstone barrage,->,is located
"in caves , around springs",gour,->,is located
"in caves , around springs",rimstone dam,->,is located
"in caves , around springs",rimstone barrier,->,is located
gour,D.1 Abiotic,->,
rimstone dam,D.1 Abiotic,->,
rimstone barrier,D.1 Abiotic,->,
rimstone pool,A.3 Hydrological form,->,
kept in place by a rimstone dam,rimstone pool,->,has cause
rise,A.3 Hydrological form,->,
rock pillar,A.2 Underground landform,->,
mass of bedrock,rock pillar,->,has form
rock pinnacle,A.2 Underground landform,->,
A tall sharp projection of bedrock,rock pinnacle,->,has form
rising from the floor of a cave,rock pinnacle,->,is located
rock shelter,A.2 Underground landform,->,
Shallow,rock shelter,->,has form
"where streams have undercut their banks at bends , or where there has been abrasion by blowing sand",rock shelter,->,has cause
under an overhanging rock ledge,rock shelter,->,is located
roof crust,A.2 Underground landform,->,
"thin films of water , which have crept over the rock from pore or crack sources .",roof crust,->,has cause
deposited on ceilings of caves,roof crust,->,is located
room,A.2 Underground landform,->,
that is wider than a passage,room,->,has size
that is wider than a passage,chamber,->,has size
sand stalagmite,A.2 Underground landform,->,
formed on sand,sand stalagmite,->,is located
scaling chip,D.1 Abiotic,->,
which has fallen from the ceiling or wall of a eave,scaling chip,->,has cause
scaling plate,D.1 Abiotic,->,
A small flat piece of rock of rectangular or polygonal shape,scaling plate,->,has form
that has fallen to the floor of a cave,scaling plate,->,has cause
Oval hollow having an asymmetric cross section along its main axis,scallop,->,has form
Scallops form patterns on tl e walls of caves and in streambeds,scallop,->,is located
sea cave,A.3 Hydrological form,->,
eroded by waves or currerts or dissolved by water,sea cave,->,has cause
in a sea cliff,sea cave,->,is located
faults,D.1 Abiotic,->,
along which movement has occurred or still occurs,faults,->,is located
fission-track method,E.2 Method,->,
encrust floors or walls,flowstone,->,is located
fluviokarst,C. Geome,->,
visible surface expression of the fissures of a karstifiable rock,kluftkarren,->,has form
visible surface expression of the fissures of a karstifiable rock,grikes,->,has form
are a significant component of the epikarst,kluftkarren,->,is located
are a significant component of the epikarst,grikes,->,is located
grikes,A.1 Surface landform,->,
hypogene karst,C. Geome,->,
independent of the recharge from the overlying or immediately adjacent surface,hypogene karst,->,has cause
inphase component,E.2 Method,->,
range from 1 cm to 10 m in greatest dimension,karren,->,has size
interaction between soluble rocks and different waters,karst,->,has cause
karstification,B.4 Transformation,->,
differential chemical and mechanical erosion by water on soluble bodies of rock,karstification,->,has cause
at or near the Earth ’ s surface,karstification,->,is located
indicates dissolution ( also called chemical solution ) of underlying soluble rocks by surface water or ground water,karst,->,has cause
"distinctive type of landscape that develops from the dissolving action of water on soluble bedrock , primarily limestone and marble but also dolostone , gypsum and halite",karst,->,has cause
"terrain , generally",karst,->,is located
terrains underlain by soluble rock,karst,->,is located
on cave walls or formations close to a light source .,lampenflora,->,is located
visitor capacity,D.3 Property,->,
allogeneic waters,D.1 Abiotic,->,
derived from nonlocal sources,allogeneic waters,->,has cause
base level,D.3 Property,->,
cover-collapse sinkhole,A.1 Surface landform,->,
suffosion dolines,A.1 Surface landform,->,
depressions,suffosion dolines,->,has form
usually only a few meters in diameter and depth,suffosion dolines,->,has size
may have different forms and surface expressions,sinkhole,->,has form
hypogene speleogenesis,B. Process,->,
water,hypogene speleogenesis,->,has cause
vertical through structures,A.2 Underground landform,->,
vertically extended collapse features,vertical through structures,->,has form
by-product of hypogene speleogenesis,vertical through structures,->,has cause
result of dissolution of soluble rocks by groundwater,speleogenesis,->,has cause
"form on the ceilings , walls , and floors of caves .",speleothems,->,is located
straw stalactites,A.2 Underground landform,->,
hollow tubes,straw stalactites,->,has form
about 5 mm in diameter,straw stalactites,->,has size
helictites,A.2 Underground landform,->,
erratic stalactite-like form,helictites,->,has form
occurs when seepage rates are too slow for complete drops to form,helictites,->,has cause
cave pearls,A.2 Underground landform,->,
"near-spherical , unattached speleothem",cave pearls,->,has form
agitated by water dripping from considerable heights,cave pearls,->,has cause
form in pools,cave pearls,->,is located
dissolutional potholes,A.1 Surface landform,->,
sharp-edged ### rounded-interior,dissolutional potholes,->,has form
in stream beds,dissolutional potholes,->,is located
anastamose,A.2 Underground landform,->,
pattern of interweaving channels,anastamose,->,has form
pendants,A.2 Underground landform,->,
hanging from passage ceilings,pendants,->,is located
typically B10 — 100 cm in dimension,pendants,->,has size
cupolas,A.2 Underground landform,->,
of thermal caves,cupolas,->,is located
remnant rounded pinnacles,cutter,->,has form
has formed under an acidic soil cover,cutter,->,is located
sinkhole plains,C. Geome,->,
doline karst,C. Geome,->,
are accessible to human exploration,caves,->,has function
"occurs as short to long prismatic ( along c ) , acicular or tabular ( chisel-shaped ) crystals , often twinned",aragonite,->,has form
wad,D.1 Abiotic,->,
knickpoints,D.1 Abiotic,->,
may form as a response to a sudden drop in the water table,knickpoints,->,has cause
"are circular , oval , or irregular in shape",room,->,has form
where passages intersect,room,->,is located
is wide relative to its length,room,->,has size
pits,A.2 Underground landform,->,
form of vadose passage,pits,->,has form
flute,A.2 Underground landform,->,
"elongate , nearly parallel crested forms",flute,->,has form
in some cave passages,flute,->,is located
exhalation,D.3 Property,->,
whiting,D.1 Abiotic,->,
derived by fine grinding,whiting,->,has cause
such that > 95% is < 44 µm,whiting,->,has size
relict sea caves on former coastlines,sea caves,->,is located
relict sea caves on former coastlines,littoral caves,->,is located
slabs,A.1 Surface landform,->,
fragments of a single bed,slabs,->,has form
a few cubic metres in volume,slabs,->,has size
seems to be originated by microbiological reactions,moonmilk,->,has cause
margin,D.3 Property,->,
forms the island,margin,->,has cause
under the flank of the high ground,margin,->,is located
speleotherapy,E.2 Method,->,
involving subterranean environments and their specific microclimate,speleotherapy,->,composed
exsurgences,A.3 Hydrological form,->,
receive the bulk of their recharge from a karst surface,exsurgences,->,has cause
in autogenic aquifers,exsurgences,->,composed
open anchialine pools,A.3 Hydrological form,->,
connected to the sea by cave corridors,open anchialine pools,->,has form
coastal,open anchialine pools,->,is located
fungi,D.2 Biotic,->,
important decomposers,fungi,->,has function
glaciokarstic varves,D.1 Abiotic,->,
"silty , laminated sediments",glaciokarstic varves,->,has form
vulcanospeleology,E.2 Method,->,
anchialine,A.3 Hydrological form,->,
pools with no surface connection to the sea,anchialine,->,has form
entrances,A.1 Surface landform,->,
accidental intersections of the caves by surface erosion,entrances,->,has cause
fengcong,A.1 Surface landform,->,
rising from shared limestone foot-slopes .,fengcong,->,is located
fenglin,A.1 Surface landform,->,
fenglin,C. Geome,->,
isolated from each other by flat limestone surfaces,fenglin,->,has form
radiolocation,E.2 Method,->,
to find out where the extremities of a cave lie and reduce cumulative errors in the survey,radiolocation,->,has function
where groups of residual hills share a common exposed bedrock base,fenglin,->,is located
where groups of residual hills share a common exposed bedrock base,peak forest,->,is located
peak forest,C. Geome,->,
artificial underground reservoir,D.1 Abiotic,->,
to control the discharge regime of artificially stored water,artificial underground reservoir,->,has function
valleys,A.1 Surface landform,->,
of most karst regions,valleys,->,is located
pocket valleys,A.1 Surface landform,->,
they occur in association with large springs close to the margins of karst areas,pocket valleys,->,is located
with internal drainage,dolines,->,has function
with internal drainage,sinkholes,->,has function
typically formed in karst environments,dolines,->,is located
typically formed in karst environments,sinkholes,->,is located
sinkholes,A.1 Surface landform,->,
are formed due to coalescence of several dolines,uvalas,->,has cause
with undulating floors,uvalas,->,has form
floored by sinkholes,uvala,->,has form
bowl shaped,sinkhole,->,has form
paleokarst,C. Geome,->,
paleokarst,caves without roofs,->,composed
has been buried beneath younger sediments,paleokarst,->,is located
flank-margin caves,A.2 Underground landform,->,
as a result of sea-water and freshwater mixing,flank-margin caves,->,has cause
inside the coastline,flank-margin caves,->,is located
develops in carbonate coastlines,flank-margin caves,->,composed
morphometry,E.2 Method,->,
dissolutional corridors,A.1 Surface landform,->,
follow major vertical fractures,dissolutional corridors,->,has form
created by the doming,dissolutional corridors,->,has cause
in the limestone,dissolutional corridors,->,composed
found on all continents,paleokarst,->,is located
caves without roofs,A.2 Underground landform,->,
without roofs,caves without roofs,->,has form
paleokarst aquifers,C. Geome,->,
important sources of water,paleokarst aquifers,->,has function
palynology,E.2 Method,->,
provide important evidence about ancient environments,palynology,->,has function
paragenesis,B.4 Transformation,->,
network mazes,A.1 Surface landform,->,
angular grids of intersecting fissures guided by fractures,network mazes,->,has form
spongework mazes,A.2 Underground landform,->,
irregular,spongework mazes,->,has form
enlarged from primary pores,spongework mazes,->,has cause
blind valleys,A.1 Surface landform,->,
valleys usually terminate abruptly in a cliff or steep slope,blind valleys,->,has form
Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink,blind valleys,->,has cause
pre-ponor retention,B.3 Addition,->,
in the surface depression just above the ponor,pre-ponor retention,->,is located
pseudokarstic caves,A.2 Underground landform,->,
large enough to enter and investigate,pseudokarstic caves,->,has size
emanation,D.3 Property,->,
depends on the concentration of uranium ( which then decays to radium ) in the material,emanation,->,has cause
k,D.3 Property,->,
epik system,E.2 Method,->,
intended particularly for use in the karst of the Jura mountains,epik system,->,has function
fengcong karst,C. Geome,->,
paleocave system,C. Geome,->,
paleocave hydrocarbon reservoir,C. Geome,->,
karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity,paleocave hydrocarbon reservoir,->,has cause
does not experience exchange with stream water,phreatic zone,->,has function
deep portion of an aquifer,phreatic zone,->,is located
arêtes,A.1 Surface landform,->,
"naked , reticulated , saw-topped ridges with spires",arêtes,->,has form
c . 120 m high,arêtes,->,has size
microrills,A.1 Surface landform,->,
distinctive rilling appearance,microrills,->,has form
smallest,microrills,->,has size
rainpits,A.1 Surface landform,->,
"cup-like hollows , sub-circular in plan and nearly parabolic in cross section",rainpits,->,has form
decantation runnels,A.1 Surface landform,->,
reduce in width and depth downslope,decantation runnels,->,has form
"the solvent supply is not directly related to rainfall , but corresponds to overspilling stores of water , such as moss clumps , small snow banks , or soil remnants",decantation runnels,->,has cause
cutters,A.1 Surface landform,->,
develops beneath soil cover,cutters,->,is located
develops beneath soil cover,grike,->,is located
in some parts of the cave,aragonite,->,is located
halite,D.1 Abiotic,->,
colluvial transport,B.1 Movement,->,
without the assistance of water,colluvial transport,->,has cause
down-slope,colluvial transport,->,is located
stalactites,A.2 Underground landform,->,
hanging from the ceiling,stalactites,->,is located
centimeter to meter in scale,stalactites,->,has size
stalagmitic flowstones,A.2 Underground landform,->,
formed by a thin flowing film of water itself fed by groups of dripping stalactites,stalagmitic flowstones,->,has cause
coat the cave floor and walls,stalagmitic flowstones,->,is located
soda straws,A.2 Underground landform,->,
characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth,soda straws,->,has form
generated by axial feeding,soda straws,->,has cause
stalagmites,A.2 Underground landform,->,
"show flat , rounded , or slightly hollow tops , but not a central canal",stalagmites,->,has form
fed by an overhanging stalactite,stalagmites,->,has cause
zone of bedrock modified by solution located at or near the surface,sinkhole,->,composed
ponors,A.3 Hydrological form,->,
the point at which a sinking stream heads underground,ponors,->,is located
the point at which a sinking stream heads underground,swallow holes,->,is located
swallow holes,A.3 Hydrological form,->,
"sinkholes that form in a stream bed , often with a large vertical shaft beneath",swallow holes,->,has form
direct runoff into an underground channelóin,swallow holes,->,has function
intrastratal karstification,B.4 Transformation,->,
"within a sequence of soluble rocks , e.g . a gypsum bed in a dolomite formation",intrastratal karstification,->,composed
exokarst,C. Geome,->,
at the surface,exokarst,->,is located
cryptokarst,C. Geome,->,
"developed beneath a blanket of permeable sediments such as soil , till , periglacial deposits and residual clays",cryptokarst,->,composed
Karst-like landforms,pseudokarst,->,has form
produced by processes other than dissolution or corrosion-induced subsidence and collapse,pseudokarst,->,has cause
thermokarst,C. Geome,->,
resulting from thawing of ground ice,thermokarst,->,has cause
holokarst,C. Geome,->,
extending well below baselevel,holokarst,->,is located
developed on thick limestones,holokarst,->,composed
Concentrated inflows of water from allogenic sources sink underground,ponors,->,has function
Concentrated inflows of water from allogenic sources sink underground,swallets,->,has function
Concentrated inflows of water from allogenic sources sink underground,swallow holes,->,has function
Concentrated inflows of water from allogenic sources sink underground,stream-sinks,->,has function
swallets,A.3 Hydrological form,->,
stream-sinks,A.3 Hydrological form,->,
"well layered , quite lustrous and lacks framing plant content",travertine,->,has form
where rapid deposition is encouraged by evaporation,tufa,->,has cause
near cave entrances,tufa,->,is located
spheres,cave pearls,->,has form
range ~ 0.2 to 10 – 15 mm in diameter,cave pearls,->,has size
cristobalite,D.1 Abiotic,->,
fine-grained,cristobalite,->,has form
fine-grained,opal,->,has form
